,movieId,title,genres,class
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Средний рейтинг
1,2,Jumanji (1995),Adventure|Children|Fantasy,Средний рейтинг
2,3,Grumpier Old Men (1995),Comedy|Romance,Средний рейтинг
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,Средний рейтинг
4,5,Father of the Bride Part II (1995),Comedy,Средний рейтинг
5,6,Heat (1995),Action|Crime|Thriller,Средний рейтинг
6,7,Sabrina (1995),Comedy|Romance,Средний рейтинг
7,8,Tom and Huck (1995),Adventure|Children,Средний рейтинг
8,9,Sudden Death (1995),Action,Средний рейтинг
9,10,GoldenEye (1995),Action|Adventure|Thriller,Средний рейтинг
10,11,"American President, The (1995)",Comedy|Drama|Romance,Средний рейтинг
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,Средний рейтинг
12,13,Balto (1995),Adventure|Animation|Children,Средний рейтинг
13,14,Nixon (1995),Drama,Средний рейтинг
14,15,Cutthroat Island (1995),Action|Adventure|Romance,Средний рейтинг
15,16,Casino (1995),Crime|Drama,Средний рейтинг
16,17,Sense and Sensibility (1995),Drama|Romance,Средний рейтинг
17,18,Four Rooms (1995),Comedy,Средний рейтинг
18,19,Ace Ventura: When Nature Calls (1995),Comedy,Средний рейтинг
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Средний рейтинг
20,21,Get Shorty (1995),Comedy|Crime|Thriller,Средний рейтинг
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Средний рейтинг
22,23,Assassins (1995),Action|Crime|Thriller,Средний рейтинг
23,24,Powder (1995),Drama|Sci-Fi,Средний рейтинг
24,25,Leaving Las Vegas (1995),Drama|Romance,Средний рейтинг
25,26,Othello (1995),Drama,Высокий рейтинг
26,27,Now and Then (1995),Children|Drama,Средний рейтинг
27,28,Persuasion (1995),Drama|Romance,Высокий рейтинг
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Высокий рейтинг
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Высокий рейтинг
30,31,Dangerous Minds (1995),Drama,Средний рейтинг
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Средний рейтинг
32,34,Babe (1995),Children|Drama,Средний рейтинг
33,35,Carrington (1995),Drama|Romance,Средний рейтинг
34,36,Dead Man Walking (1995),Crime|Drama,Средний рейтинг
35,37,Across the Sea of Time (1995),Documentary|IMAX,Низкий рейтинг
36,38,It Takes Two (1995),Children|Comedy,Низкий рейтинг
37,39,Clueless (1995),Comedy|Romance,Средний рейтинг
38,40,"Cry, the Beloved Country (1995)",Drama,Средний рейтинг
39,41,Richard III (1995),Drama|War,Высокий рейтинг
40,42,Dead Presidents (1995),Action|Crime|Drama,Средний рейтинг
41,43,Restoration (1995),Drama,Средний рейтинг
42,44,Mortal Kombat (1995),Action|Adventure|Fantasy,Средний рейтинг
43,45,To Die For (1995),Comedy|Drama|Thriller,Средний рейтинг
44,46,How to Make an American Quilt (1995),Drama|Romance,Средний рейтинг
45,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Высокий рейтинг
46,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Средний рейтинг
47,49,When Night Is Falling (1995),Drama|Romance,Средний рейтинг
48,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Высокий рейтинг
49,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Средний рейтинг
50,53,Lamerica (1994),Adventure|Drama,Высокий рейтинг
51,54,"Big Green, The (1995)",Children|Comedy,Средний рейтинг
52,55,Georgia (1995),Drama,Средний рейтинг
53,57,Home for the Holidays (1995),Drama,Средний рейтинг
54,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Средний рейтинг
55,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,Средний рейтинг
